anchor_date,actual_trading_date,sector,sector_score,metric,current_value,five_year_average,metric_coefficient,metric_weight,source,comment,status
2026-03-30,2026-03-30,Semiconductors,1.4466,pb,10.3967,8.8324,1.1771,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-30,2026-03-30,Semiconductors,1.4466,ev_ebitda,30.1095,13.6494,2.2059,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-03-30,2026-03-30,Semiconductors,1.4466,gross_margin,0.5773,0.5524,1.0451,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-10,2026-04-10,Semiconductors,1.6417,ps,11.5337,9.5615,1.2063,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-10,2026-04-10,Semiconductors,1.6417,pb,11.9756,8.8324,1.3559,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-10,2026-04-10,Semiconductors,1.6417,ev_ebitda,34.3884,13.6494,2.5194,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-10,2026-04-10,Semiconductors,1.6417,gross_margin,0.5773,0.5524,1.0451,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-20,2026-04-20,Semiconductors,1.7647,ps,12.9415,9.5615,1.3535,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-20,2026-04-20,Semiconductors,1.7647,pb,13.0335,8.8324,1.4756,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-20,2026-04-20,Semiconductors,1.7647,ev_ebitda,36.838,13.6494,2.6989,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-20,2026-04-20,Semiconductors,1.7647,gross_margin,0.5773,0.5524,1.0451,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Semiconductors,1.9087,ps,16.6854,9.5615,1.7451,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Semiconductors,1.9087,pb,15.2467,8.8324,1.7262,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Semiconductors,1.9087,ev_ebitda,36.3838,13.6494,2.6656,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Semiconductors,1.9087,gross_margin,0.5788,0.5524,1.0478,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Semiconductors,2.0451,ps,18.7831,9.5615,1.9645,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Semiconductors,2.0451,pb,15.6112,8.8324,1.7675,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Semiconductors,2.0451,ev_ebitda,39.2346,13.6494,2.8745,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Semiconductors,2.0451,gross_margin,0.5788,0.5524,1.0478,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
